#countryName,population,capital,continentName;
Mozambique,22061451,Maputo,Africa;
Namibia,2128471,Windhoek,Africa;
New Caledonia,216494,Noumea,Oceania;
Niger,15878271,Niamey,Africa;
Norfolk Island,1828,Kingston,Oceania;
Nigeria,154000000,Abuja,Africa;
Nicaragua,5995928,Managua,North America;
Netherlands,16645000,Amsterdam,Europe;
Norway,5009150,Oslo,Europe;
Nepal,28951852,Kathmandu,Asia;
Nauru,10065,,Oceania;
Niue,2166,Alofi,Oceania;
New Zealand,4252277,Wellington,Oceania;
Oman,2967717,Muscat,Asia;
Panama,3410676,Panama City,North America;
Peru,29907003,Lima,South America;
French Polynesia,270485,Papeete,Oceania;
Papua New Guinea,6064515,Port Moresby,Oceania;
Philippines,99900177,Manila,Asia;
Pakistan,184404791,Islamabad,Asia;
Poland,38500000,Warsaw,Europe;
Saint Pierre and Miquelon,7012,Saint-Pierre,North America;
Pitcairn Islands,46,Adamstown,Oceania;
Puerto Rico,3916632,San Juan,North America;
Palestine,3800000,,Asia;
Portugal,10676000,Lisbon,Europe;
Palau,19907,Melekeok - Palau State Capital,Oceania;
Paraguay,6375830,Asunción,South America;
Qatar,840926,Doha,Asia;
Réunion,776948,Saint-Denis,Africa;
Romania,21959278,Bucharest,Europe;
Serbia,7344847,Belgrade,Europe;
Russia,140702000,Moscow,Europe;
Rwanda,11055976,Kigali,Africa;
Saudi Arabia,25731776,Riyadh,Asia;
Solomon Islands,559198,Honiara,Oceania;
Seychelles,88340,Victoria,Africa;
Sudan,35000000,Khartoum,Africa;
Sweden,9555893,Stockholm,Europe;
Singapore,4701069,Singapore,Asia;
Saint Helena,7460,Jamestown,Africa;
Slovenia,2007000,Ljubljana,Europe;
Svalbard and Jan Mayen,2550,Longyearbyen,Europe;
Slovakia,5455000,Bratislava,Europe;
Sierra Leone,5245695,Freetown,Africa;
San Marino,31477,San Marino,Europe;
Senegal,12323252,Dakar,Africa;
Somalia,10112453,Mogadishu,Africa;
Suriname,492829,Paramaribo,South America;
South Sudan,8260490,Juba,Africa;
São Tomé and Príncipe,175808,São Tomé,Africa;
El Salvador,6052064,San Salvador,North America;
Sint Maarten,37429,Philipsburg,North America;
Syria,22198110,Damascus,Asia;
Swaziland,1354051,Mbabane,Africa;
Turks and Caicos Islands,20556,Cockburn Town,North America;
Chad,10543464,N'Djamena,Africa;
French Southern Territories,140,Port-aux-Français,Antarctica;
Togo,6587239,Lomé,Africa;
Thailand,67089500,Bangkok,Asia;
Tajikistan,7487489,Dushanbe,Asia;
Tokelau,1466,,Oceania;
East Timor,1154625,Dili,Oceania;
Turkmenistan,4940916,Ashgabat,Asia;
Tunisia,10589025,Tunis,Africa;
Tonga,122580,Nuku'alofa,Oceania;
Turkey,77804122,Ankara,Asia;
Trinidad and Tobago,1228691,Port of Spain,North America;
Tuvalu,10472,Funafuti,Oceania;
Taiwan,22894384,Taipei,Asia;
Tanzania,41892895,Dodoma,Africa;
Ukraine,45415596,Kyiv,Europe;
Uganda,33398682,Kampala,Africa;
U.S. Minor Outlying Islands,0,,Oceania;
United States,310232863,Washington,North America;
Uruguay,3477000,Montevideo,South America;
Uzbekistan,27865738,Tashkent,Asia;
Vatican City,921,Vatican,Europe;
Saint Vincent and the Grenadines,104217,Kingstown,North America;
Venezuela,27223228,Caracas,South America;
British Virgin Islands,21730,Road Town,North America;
U.S. Virgin Islands,108708,Charlotte Amalie,North America;
Vietnam,89571130,Hanoi,Asia;
Vanuatu,221552,Port Vila,Oceania;
Wallis and Futuna,16025,Mata-Utu,Oceania;
Samoa,192001,Apia,Oceania;
Kosovo,1800000,Pristina,Europe;
Yemen,23495361,Sanaa,Asia;
Mayotte,159042,Mamoutzou,Africa;
South Africa,49000000,Pretoria,Africa;
Zambia,13460305,Lusaka,Africa;
Zimbabwe,11651858,Harare,Africa;
